R:T: Abs(T) vs lambda

lambda(microns), Abs(T)
0.7, 0.916354
0.689447, 0.9126
0.679208, 0.899315
0.669268, 0.837537
0.659615, 0.911891
0.650237, 0.909552
0.641121, 0.904537
0.632258, 0.896006
0.623636, 0.887132
0.615247, 0.884573
0.60708, 0.887819
0.599127, 0.889229
0.591379, 0.87977
0.58383, 0.841788
0.576471, 0.806032
0.569295, 0.88972
0.562295, 0.891672
0.555466, 0.889403
0.5488, 0.885105
0.542292, 0.877716
0.535937, 0.866511
0.52973, 0.850399
0.523664, 0.830046
0.517736, 0.809719
0.51194, 0.797186
0.506273, 0.807295
0.50073, 0.848126
0.495307, 0.852192
0.49, 0.846317
0.484806, 0.840985
0.47972, 0.835769
0.47474, 0.830243
0.469863, 0.823751
0.465085, 0.815819
0.460403, 0.805767
0.455814, 0.795427
0.451316, 0.798615
0.446906, 0.827999
0.442581, 0.847695
0.438339, 0.845837
0.434177, 0.840417
0.430094, 0.832853
0.426087, 0.824213
0.422154, 0.815251
0.418293, 0.806839
0.414502, 0.800154
0.410778, 0.798992
0.407122, 0.810392
0.403529, 0.83075
0.4, 0.842558


