lambda(microns) 	Abs(T)
0.7	0.918415
0.689447	0.918326
0.679208	0.9182
0.669268	0.918035
0.659615	0.917829
0.650237	0.917583
0.641121	0.917299
0.632258	0.916982
0.623636	0.916636
0.615247	0.916268
0.60708	0.915886
0.599127	0.915499
0.591379	0.915116
0.58383	0.914747
0.576471	0.9144
0.569295	0.914086
0.562295	0.913813
0.555466	0.91359
0.5488	0.913423
0.542292	0.913317
0.535937	0.913278
0.52973	0.913306
0.523664	0.913402
0.517736	0.913563
0.51194	0.913785
0.506273	0.914058
0.50073	0.914374
0.495307	0.914719
0.49	0.915078
0.484806	0.915436
0.47972	0.915775
0.47474	0.916076
0.469863	0.91632
0.465085	0.916492
0.460403	0.916574
0.455814	0.916554
0.451316	0.916421
0.446906	0.916167
0.442581	0.91579
0.438339	0.915291
0.434177	0.914677
0.430094	0.913957
0.426087	0.913148
0.422154	0.912267
0.418293	0.911337
0.414502	0.910385
0.410778	0.909438
0.407122	0.908526
0.403529	0.907679
0.4	0.906925
