T:T: Abs(T) vs lambda

lambda(microns), Abs(T)
0.7, 9.919e-015
0.689447, 9.32937e-015
0.679208, 7.33846e-015
0.669268, 6.91002e-015
0.659615, 6.44973e-015
0.650237, 7.24009e-015
0.641121, 7.28607e-015
0.632258, 6.48583e-015
0.623636, 5.76344e-015
0.615247, 5.56037e-015
0.60708, 4.56715e-015
0.599127, 4.51974e-015
0.591379, 4.14307e-015
0.58383, 4.08155e-015
0.576471, 4.35016e-015
0.569295, 3.58715e-015
0.562295, 3.34017e-015
0.555466, 3.29073e-015
0.5488, 3.5514e-015
0.542292, 3.46019e-015
0.535937, 3.55794e-015
0.52973, 3.58319e-015
0.523664, 3.25481e-015
0.517736, 3.14154e-015
0.51194, 3.09298e-015
0.506273, 2.97595e-015
0.50073, 2.69248e-015
0.495307, 2.99415e-015
0.49, 2.85935e-015
0.484806, 2.90987e-015
0.47972, 2.95434e-015
0.47474, 3.19727e-015
0.469863, 3.36606e-015
0.465085, 3.73511e-015
0.460403, 3.27217e-015
0.455814, 3.54432e-015
0.451316, 3.22755e-015
0.446906, 3.38899e-015
0.442581, 3.95845e-015
0.438339, 3.91293e-015
0.434177, 4.21359e-015
0.430094, 4.50007e-015
0.426087, 4.73784e-015
0.422154, 5.54113e-015
0.418293, 5.50104e-015
0.414502, 5.84915e-015
0.410778, 6.17891e-015
0.407122, 7.48327e-015
0.403529, 9.09323e-015
0.4, 9.14223e-015


