lambda(microns), Abs(T)
0.7, 1.38687e-015
0.689447, 9.14744e-016
0.679208, 4.75743e-016
0.669268, 1.17153e-016
0.659615, 1.28533e-016
0.650237, 2.44281e-016
0.641121, 2.28071e-016
0.632258, 9.14177e-017
0.623636, 1.42993e-016
0.615247, 4.44376e-016
0.60708, 7.77367e-016
0.599127, 1.10568e-015
0.591379, 1.39563e-015
0.58383, 1.61911e-015
0.576471, 1.75598e-015
0.569295, 1.79543e-015
0.562295, 1.73643e-015
0.555466, 1.58724e-015
0.5488, 1.36403e-015
0.542292, 1.08884e-015
0.535937, 7.87126e-016
0.52973, 4.8513e-016
0.523664, 2.07356e-016
0.517736, 2.56086e-017
0.51194, 1.98745e-016
0.506273, 3.03584e-016
0.50073, 3.3848e-016
0.495307, 3.08168e-016
0.49, 2.22712e-016
0.484806, 9.59847e-017
0.47972, 5.61532e-017
0.47474, 2.17738e-016
0.469863, 3.74464e-016
0.465085, 5.15131e-016
0.460403, 6.32624e-016
0.455814, 7.24349e-016
0.451316, 7.92113e-016
0.446906, 8.4149e-016
0.442581, 8.80801e-016
0.438339, 9.1988e-016
0.434177, 9.6882e-016
0.430094, 1.03689e-015
0.426087, 1.13181e-015
0.422154, 1.25944e-015
0.418293, 1.42399e-015
0.414502, 1.6286e-015
0.410778, 1.87622e-015
0.407122, 2.17052e-015
0.403529, 2.51663e-015
0.4, 2.92137e-015


