R:T: Abs(T) vs lambda

lambda(microns), Abs(T)
0.7, 0.0863424
0.689447, 0.0860291
0.679208, 0.0858581
0.669268, 0.0875398
0.659615, 0.0929095
0.650237, 0.0925763
0.641121, 0.0916055
0.632258, 0.0903084
0.623636, 0.0888052
0.615247, 0.0870895
0.60708, 0.0850608
0.599127, 0.082535
0.591379, 0.0794642
0.58383, 0.075896
0.576471, 0.0722455
0.569295, 0.0806487
0.562295, 0.0791874
0.555466, 0.0764339
0.5488, 0.0733326
0.542292, 0.0706314
0.535937, 0.0685689
0.52973, 0.0666282
0.523664, 0.0642086
0.517736, 0.0611483
0.51194, 0.0576641
0.506273, 0.0541907
0.50073, 0.0535414
0.495307, 0.0518649
0.49, 0.0493152
0.484806, 0.0473837
0.47972, 0.0462498
0.47474, 0.0456731
0.469863, 0.0453079
0.465085, 0.0448718
0.460403, 0.0442577
0.455814, 0.0435206
0.451316, 0.0427846
0.446906, 0.0425632
0.442581, 0.0470156
0.438339, 0.0479425
0.434177, 0.0481364
0.430094, 0.0479862
0.426087, 0.0476639
0.422154, 0.047349
0.418293, 0.0470989
0.414502, 0.0468183
0.410778, 0.0463371
0.407122, 0.0455475
0.403529, 0.0444927
0.4, 0.0489084


