lambda(microns), Abs(T)
0.7, 0.0371822
0.689447, 0.0370909
0.679208, 0.0369947
0.669268, 0.0368931
0.659615, 0.0367857
0.650237, 0.0366721
0.641121, 0.0365525
0.632258, 0.0364277
0.623636, 0.0362988
0.615247, 0.0361678
0.60708, 0.0360363
0.599127, 0.0359063
0.591379, 0.0357794
0.58383, 0.0356568
0.576471, 0.0355399
0.569295, 0.0354298
0.562295, 0.0353275
0.555466, 0.0352345
0.5488, 0.0351521
0.542292, 0.0350817
0.535937, 0.0350243
0.52973, 0.0349806
0.523664, 0.0349506
0.517736, 0.0349337
0.51194, 0.0349286
0.506273, 0.0349335
0.50073, 0.0349464
0.495307, 0.0349648
0.49, 0.0349864
0.484806, 0.0350089
0.47972, 0.03503
0.47474, 0.0350474
0.469863, 0.0350589
0.465085, 0.0350622
0.460403, 0.0350549
0.455814, 0.035035
0.451316, 0.0350006
0.446906, 0.0349502
0.442581, 0.0348832
0.438339, 0.0347996
0.434177, 0.0347003
0.430094, 0.0345871
0.426087, 0.0344626
0.422154, 0.0343298
0.418293, 0.0341922
0.414502, 0.0340535
0.410778, 0.0339177
0.407122, 0.0337886
0.403529, 0.0336698
0.4, 0.0335651


