T:T: Abs(T) vs lambda

lambda(microns), Abs(T)
0.7, 0.911586
0.689447, 0.911798
0.679208, 0.911805
0.669268, 0.909848
0.659615, 0.904085
0.650237, 0.904046
0.641121, 0.904549
0.632258, 0.905259
0.623636, 0.906054
0.615247, 0.906939
0.60708, 0.907991
0.599127, 0.909303
0.591379, 0.910786
0.58383, 0.912141
0.576471, 0.912643
0.569295, 0.901254
0.562295, 0.897899
0.555466, 0.894181
0.5488, 0.889662
0.542292, 0.885186
0.535937, 0.882077
0.52973, 0.88077
0.523664, 0.880528
0.517736, 0.880596
0.51194, 0.880807
0.506273, 0.881398
0.50073, 0.882046
0.495307, 0.883109
0.49, 0.885139
0.484806, 0.887223
0.47972, 0.888966
0.47474, 0.890304
0.469863, 0.891368
0.465085, 0.892296
0.460403, 0.893119
0.455814, 0.893735
0.451316, 0.894017
0.446906, 0.89373
0.442581, 0.891774
0.438339, 0.891236
0.434177, 0.891017
0.430094, 0.891033
0.426087, 0.891153
0.422154, 0.891175
0.418293, 0.890972
0.414502, 0.89058
0.410778, 0.890156
0.407122, 0.889863
0.403529, 0.889832
0.4, 0.888892


