lambda(microns), Abs(T)
0.7, 0.962916
0.689447, 0.963036
0.679208, 0.963162
0.669268, 0.963283
0.659615, 0.96339
0.650237, 0.963477
0.641121, 0.963549
0.632258, 0.963611
0.623636, 0.963675
0.615247, 0.963748
0.60708, 0.963837
0.599127, 0.963941
0.591379, 0.964054
0.58383, 0.964168
0.576471, 0.964275
0.569295, 0.964367
0.562295, 0.964443
0.555466, 0.964505
0.5488, 0.964558
0.542292, 0.964609
0.535937, 0.964667
0.52973, 0.964734
0.523664, 0.964812
0.517736, 0.964896
0.51194, 0.964982
0.506273, 0.965063
0.50073, 0.965132
0.495307, 0.965188
0.49, 0.965229
0.484806, 0.96526
0.47972, 0.965285
0.47474, 0.965311
0.469863, 0.965342
0.465085, 0.965381
0.460403, 0.965427
0.455814, 0.965478
0.451316, 0.965529
0.446906, 0.965575
0.442581, 0.965611
0.438339, 0.965635
0.434177, 0.965647
0.430094, 0.965649
0.426087, 0.965646
0.422154, 0.965644
0.418293, 0.965647
0.414502, 0.96566
0.410778, 0.965681
0.407122, 0.965711
0.403529, 0.965745
0.4, 0.965777


