wl,n,k
2,1.343,0.0000239
2.041,1.343,0.0001066
2.083,1.343,0.0001927
2.128,1.343,0.0002825
2.174,1.343,0.0003763
2.222,1.342,0.0004741
2.273,1.342,0.0005765
2.326,1.342,0.0006836
2.381,1.342,0.0007958
2.439,1.342,0.0006334
2.5,1.342,0.000463
2.56,1.342,0.0002952
2.568,1.342,0.000305
2.576,1.342,0.0003044
2.584,1.342,0.0003093
2.592,1.342,0.0003075
2.6,1.342,0.0003019
2.608,1.342,0.0002913
2.616,1.342,0.0002838
2.624,1.342,0.0002744
2.632,1.342,0.0002585
2.64,1.342,0.0002441
2.648,1.342,0.0002289
2.656,1.342,0.0002163
2.664,1.342,0.0002008
2.672,1.342,0.0001833
2.68,1.342,0.0001695
2.688,1.341,0.0001586
2.696,1.341,0.0001507
2.704,1.341,0.0001455
2.712,1.341,0.0001459
2.72,1.341,0.0001451
2.728,1.341,0.0001432
2.736,1.341,0.0001413
2.744,1.341,0.0001353
2.752,1.341,0.0001262
2.76,1.341,0.0001143
2.768,1.341,0.0001047
2.776,1.341,0.0000919
2.784,1.341,0.0000805
2.792,1.341,0.0000685
2.8,1.341,0.0000602
2.808,1.341,0.0000534
2.816,1.341,0.0000481
2.824,1.341,0.0000451
2.832,1.34,0.0000442
2.84,1.34,0.0000433
2.848,1.34,0.0000461
2.856,1.34,0.0000493
2.864,1.34,0.0000529
2.872,1.34,0.0000576
2.88,1.34,0.0000621
2.888,1.34,0.0000714
2.896,1.34,0.0000826
2.904,1.34,0.0000972
2.912,1.34,0.0001139
2.92,1.34,0.0001332
2.928,1.339,0.0001559
2.936,1.339,0.0001827
2.944,1.339,0.0002013
2.952,1.339,0.0002199
2.96,1.339,0.0002401
2.968,1.339,0.0002571
2.976,1.339,0.0002815
2.984,1.339,0.0003046
2.992,1.339,0.0003312
3,1.339,0.000358
3.008,1.339,0.0003774
3.016,1.338,0.00039
3.024,1.338,0.0003851
3.032,1.338,0.0003735
3.04,1.338,0.0003476
3.048,1.338,0.00033
3.056,1.338,0.0003165
3.064,1.338,0.00031
3.072,1.337,0.0003245
3.08,1.337,0.0003482
3.088,1.337,0.0003966
3.096,1.337,0.0004574
3.104,1.337,0.0005477
3.112,1.336,0.0006438
3.12,1.336,0.0007805
3.128,1.336,0.0009008
3.136,1.336,0.0010534
3.144,1.336,0.0011856
3.152,1.335,0.0013223
3.16,1.335,0.0014379
3.168,1.335,0.0014581
3.176,1.335,0.0014331
3.184,1.335,0.0013559
3.192,1.335,0.0012666
3.2,1.334,0.0012127
3.208,1.334,0.0011597
3.216,1.334,0.0011651
3.224,1.333,0.0011499
3.232,1.333,0.0011553
3.24,1.332,0.0012048
3.248,1.332,0.0012605
3.256,1.331,0.0013646
3.264,1.33,0.0014535
3.272,1.33,0.0016391
3.28,1.329,0.0017283
3.288,1.328,0.0020016
3.296,1.327,0.0021315
3.304,1.326,0.0027563
3.344,1.315,0.0041187
3.352,1.309,0.0078121
3.36,1.307,0.013184
3.368,1.304,0.0182273
3.376,1.304,0.0283754
3.384,1.306,0.0347951
3.392,1.31,0.0446614
3.4,1.317,0.0526951
3.408,1.328,0.0585057
3.416,1.34,0.0590949
3.424,1.348,0.0541749
3.432,1.352,0.0507466
3.44,1.355,0.0481052
3.448,1.358,0.0457753
3.456,1.361,0.043422
3.464,1.363,0.0417963
3.472,1.366,0.040876
3.48,1.37,0.0386221
3.488,1.374,0.034795
3.496,1.377,0.0312897
3.504,1.379,0.0251503
3.512,1.379,0.0196433
3.52,1.377,0.0149584
3.528,1.377,0.0113445
3.536,1.373,0.0049932
3.544,1.369,0.0054967
3.552,1.368,0.003353
3.56,1.366,0.0020489
3.568,1.363,0.0007176
3.576,1.361,0.0009628
3.584,1.359,0.0008669
3.592,1.358,0.0010196
3.6,1.357,0.0012051
3.608,1.356,0.0016136
3.616,1.355,0.001982
3.624,1.355,0.0022517
3.632,1.355,0.0023723
3.64,1.354,0.0026848
3.648,1.354,0.002546
3.656,1.354,0.0024234
3.664,1.354,0.0030778
3.672,1.354,0.0027216
3.68,1.354,0.0022529
3.688,1.353,0.0021514
3.696,1.353,0.0018869
3.704,1.353,0.0017586
3.712,1.352,0.0015981
3.72,1.352,0.0019659
3.728,1.352,0.0018776
3.736,1.352,0.001844
3.744,1.352,0.0013353
3.752,1.352,0.0013203
3.76,1.351,0.0012979
3.768,1.351,0.0013221
3.776,1.351,0.0013258
3.784,1.351,0.0013679
3.792,1.35,0.0014081
3.8,1.35,0.0014858
3.808,1.35,0.0015419
3.816,1.35,0.0016062
3.824,1.35,0.0016442
3.832,1.35,0.0016749
3.84,1.35,0.0016745
3.848,1.35,0.0016665
3.856,1.35,0.0016129
3.864,1.35,0.0015019
3.872,1.35,0.0013373
3.88,1.35,0.0011405
3.888,1.35,0.0009828
3.896,1.35,0.0008105
3.904,1.35,0.0006857
3.912,1.35,0.0005767
3.92,1.349,0.0004967
3.928,1.349,0.0004389
3.936,1.349,0.0004378
3.944,1.349,0.000358
3.952,1.349,0.0003434
3.96,1.349,0.0003369
3.968,1.349,0.0003423
3.976,1.348,0.0003486
3.984,1.348,0.0003581
3.992,1.348,0.0003678
4,1.348,0.0003715
4.008,1.348,0.0003762
4.016,1.348,0.0003743
4.024,1.348,0.0003732
4.032,1.348,0.0003737
4.04,1.348,0.0003761
4.048,1.348,0.0003812
4.056,1.348,0.0003844
4.064,1.348,0.000392
4.072,1.347,0.0003936
4.08,1.347,0.000396
4.088,1.347,0.0003985
4.096,1.347,0.0004013
4.104,1.347,0.0004138
4.112,1.347,0.000427
4.12,1.347,0.000447
4.128,1.347,0.0004677
4.136,1.347,0.0004983
4.144,1.347,0.0005166
4.152,1.347,0.0005348
4.16,1.347,0.0005417
4.168,1.347,0.0005442
4.176,1.347,0.0005445
4.184,1.347,0.0005442
4.192,1.347,0.0005429
4.2,1.347,0.0005459
4.208,1.347,0.0005494
4.216,1.347,0.0005506
4.224,1.347,0.0005436
4.232,1.347,0.0005233
4.24,1.347,0.0005053
4.248,1.347,0.0004688
4.256,1.347,0.0004316
4.264,1.347,0.0004014
4.272,1.347,0.0003792
4.28,1.347,0.0003635
4.288,1.346,0.000358
4.296,1.346,0.0003591
4.304,1.346,0.0003608
4.312,1.346,0.0003699
4.32,1.346,0.0003752
4.328,1.346,0.0003864
4.336,1.346,0.0003922
4.344,1.346,0.0003898
4.352,1.346,0.0004009
4.36,1.346,0.0004119
4.368,1.346,0.000417
4.376,1.346,0.0004292
4.384,1.346,0.0004329
4.392,1.346,0.00044
4.4,1.346,0.000437
4.408,1.346,0.0004382
4.416,1.346,0.0004312
4.424,1.346,0.0004248
4.432,1.346,0.0004131
4.44,1.346,0.0004006
4.448,1.346,0.0003801
4.456,1.346,0.0003622
4.464,1.346,0.0003359
4.472,1.346,0.0003198
4.48,1.346,0.0003167
4.488,1.346,0.0002622
4.496,1.346,0.0002499
4.504,1.346,0.000237
4.512,1.346,0.0002283
4.52,1.346,0.0002207
4.528,1.346,0.0002178
4.536,1.346,0.0002067
4.544,1.346,0.0002034
4.552,1.345,0.0001943
4.56,1.345,0.0001957
4.568,1.345,0.0002003
4.576,1.345,0.0002091
4.584,1.345,0.0002213
4.592,1.345,0.0002363
4.6,1.345,0.0002452
4.608,1.345,0.0002529
4.616,1.345,0.0002492
4.624,1.345,0.0002432
4.632,1.345,0.0002331
4.64,1.345,0.0002235
4.648,1.345,0.0002172
4.656,1.345,0.0002163
4.664,1.345,0.0002194
4.672,1.345,0.0002276
4.68,1.345,0.0002384
4.688,1.345,0.0002425
4.696,1.345,0.0002502
4.704,1.345,0.0002443
4.712,1.345,0.0002438
4.72,1.345,0.0002295
4.728,1.345,0.0002231
4.736,1.345,0.0002133
4.744,1.345,0.0002133
4.752,1.345,0.000209
4.76,1.345,0.0002134
4.768,1.345,0.0002109
4.776,1.345,0.0002155
4.784,1.345,0.0002108
4.792,1.345,0.0002077
4.8,1.345,0.0001995
4.808,1.345,0.0001929
4.816,1.345,0.0001907
4.824,1.345,0.0001887
4.832,1.345,0.0001937
4.84,1.345,0.0001989
4.848,1.345,0.0002073
4.856,1.345,0.0002117
4.864,1.345,0.0002116
4.872,1.345,0.0002031
4.88,1.345,0.0001989
4.888,1.344,0.000199
4.896,1.344,0.0001956
4.904,1.344,0.0001952
4.912,1.344,0.0001918
4.92,1.344,0.0001052
4.928,1.344,0.0000984
4.936,1.344,0.0000898
4.944,1.344,0.0000856
4.952,1.344,0.0000749
4.96,1.344,0.0000743
4.968,1.344,0.0000667
4.976,1.344,0.0000645
4.984,1.344,0.0000624
4.992,1.344,0.0000599
5,1.344,0.0000619
5.008,1.344,0.0000605
5.016,1.344,0.0000618
5.024,1.344,0.0000652
5.032,1.344,0.0000633
5.04,1.344,0.0000696
5.048,1.344,0.0000725
5.056,1.344,0.0000799
5.064,1.344,0.0000887
5.072,1.344,0.0000954
5.08,1.344,0.000103
5.088,1.344,0.0001075
5.096,1.344,0.000119
5.104,1.344,0.0001249
5.112,1.344,0.0001326
5.12,1.344,0.0001446
5.128,1.344,0.0001641
5.136,1.344,0.0001783
5.144,1.344,0.0001958
5.152,1.344,0.0002101
5.16,1.344,0.0002265
5.168,1.343,0.0002365
5.176,1.343,0.0002436
5.184,1.343,0.0002382
5.192,1.343,0.0002355
5.2,1.343,0.0002217
5.208,1.343,0.0002072
5.216,1.343,0.0001972
5.224,1.343,0.0001854
5.232,1.343,0.0001696
5.24,1.343,0.0001666
5.248,1.343,0.000157
5.256,1.343,0.0001516
5.264,1.343,0.0001472
5.272,1.343,0.0001409
5.28,1.343,0.0001468
5.288,1.343,0.0001446
5.296,1.343,0.000153
5.304,1.343,0.0001598
5.312,1.343,0.0001686
5.32,1.343,0.0001768
5.328,1.343,0.000188
5.336,1.343,0.0001933
5.344,1.343,0.0002013
5.352,1.343,0.0001999
5.36,1.343,0.0002064
5.368,1.343,0.0002012
5.376,1.343,0.0002086
5.384,1.343,0.00021
5.392,1.343,0.0002198
5.4,1.343,0.0002361
5.408,1.343,0.0002517
5.424,1.343,0.0002773
5.44,1.343,0.0003131
5.456,1.342,0.0003426
5.472,1.342,0.0003507
5.488,1.342,0.0003382
5.504,1.342,0.0003164
5.52,1.342,0.0002835
5.536,1.342,0.0002838
5.552,1.342,0.0002818
5.568,1.342,0.0003216
5.584,1.342,0.0003319
5.616,1.342,0.000337
5.632,1.342,0.0003307
5.648,1.342,0.0003488
5.664,1.342,0.0003942
5.68,1.341,0.0004215
5.696,1.341,0.0004801
5.712,1.341,0.0004857
5.728,1.341,0.0005283
5.744,1.341,0.0005674
5.76,1.341,0.0005769
5.776,1.341,0.0006076
5.792,1.341,0.0006198
5.824,1.341,0.0006544
5.84,1.341,0.0007087
5.856,1.341,0.0007402
5.872,1.341,0.0007804
5.888,1.34,0.0008622
5.904,1.34,0.000895
5.92,1.34,0.0009162
