wl,n,k
2.99E-02,0.836223,0.151339
3.01E-02,0.834433,0.153481
3.03E-02,0.832576,0.155661
3.05E-02,0.830656,0.157875
3.06E-02,0.828672,0.160122
3.08E-02,0.826618,0.162404
3.10E-02,0.82449,0.164721
3.12E-02,0.822284,0.167081
3.14E-02,0.819996,0.169483
3.15E-02,0.817623,0.171921
3.17E-02,0.815145,0.174372
3.19E-02,0.812526,0.176826
3.21E-02,0.809725,0.179301
3.23E-02,0.806684,0.181782
3.25E-02,0.803279,0.184259
3.27E-02,0.799212,0.186766
3.29E-02,0.794777,0.190761
3.31E-02,0.790837,0.19593
3.32E-02,0.787409,0.20085
3.34E-02,0.784142,0.205901
3.36E-02,0.781025,0.21111
3.38E-02,0.778056,0.216459
3.40E-02,0.775221,0.221919
3.42E-02,0.7725,0.227484
3.44E-02,0.769876,0.233149
3.46E-02,0.767355,0.23895
3.48E-02,0.76494,0.244833
3.50E-02,0.762612,0.250786
3.52E-02,0.760351,0.2568
3.55E-02,0.758139,0.26287
3.57E-02,0.75593,0.268956
3.59E-02,0.75367,0.275109
3.61E-02,0.751332,0.281394
3.63E-02,0.74891,0.287873
3.65E-02,0.746448,0.294663
3.67E-02,0.744007,0.301739
3.69E-02,0.741608,0.309077
3.71E-02,0.739254,0.316683
3.74E-02,0.736946,0.324575
3.76E-02,0.734739,0.33285
3.78E-02,0.732677,0.341403
3.80E-02,0.730752,0.350234
3.82E-02,0.728958,0.359343
3.85E-02,0.727313,0.368794
3.87E-02,0.725867,0.378591
3.89E-02,0.72464,0.388671
3.92E-02,0.723623,0.399035
3.94E-02,0.722801,0.409685
3.96E-02,0.722218,0.420743
3.98E-02,0.721926,0.432113
4.01E-02,0.721921,0.443783
4.03E-02,0.722196,0.455757
4.05E-02,0.722754,0.46808
4.08E-02,0.723655,0.480836
4.10E-02,0.724944,0.493926
4.13E-02,0.726615,0.507359
4.15E-02,0.728663,0.521146
4.18E-02,0.731131,0.535414
4.20E-02,0.734102,0.550141
4.22E-02,0.737613,0.565283
4.25E-02,0.741675,0.58086
4.27E-02,0.746294,0.596897
4.30E-02,0.751587,0.613651
4.32E-02,0.757694,0.630953
4.35E-02,0.764659,0.648842
4.37E-02,0.772544,0.667359
4.40E-02,0.781471,0.686695
4.43E-02,0.791713,0.707037
4.45E-02,0.803557,0.728309
4.48E-02,0.817302,0.750643
4.50E-02,0.833385,0.774201
4.53E-02,0.853097,0.799965
4.56E-02,0.877699,0.825694
4.58E-02,0.907317,0.849624
4.61E-02,0.941744,0.870537
4.64E-02,0.980775,0.887172
4.67E-02,1.023154,0.896614
4.69E-02,1.06715,0.899076
4.72E-02,1.111289,0.893578
4.75E-02,1.153493,0.879612
4.78E-02,1.190361,0.856518
4.80E-02,1.220362,0.831208
4.83E-02,1.24473,0.805285
4.86E-02,1.264301,0.779485
4.89E-02,1.279606,0.754397
4.92E-02,1.291373,0.731128
4.95E-02,1.300437,0.70972
4.97E-02,1.307394,0.690309
5.00E-02,1.312788,0.673016
5.03E-02,1.317331,0.658187
5.06E-02,1.322085,0.645792
5.09E-02,1.327458,0.633911
5.12E-02,1.333106,0.62219
5.15E-02,1.338803,0.610483
5.18E-02,1.344421,0.598808
5.21E-02,1.349934,0.587177
5.24E-02,1.355371,0.575574
5.27E-02,1.360813,0.563971
5.30E-02,1.366448,0.552313
5.34E-02,1.3724,0.540035
5.37E-02,1.37832,0.526267
5.40E-02,1.383639,0.511014
5.43E-02,1.387937,0.494351
5.46E-02,1.390746,0.476204
5.49E-02,1.39154,0.456867
5.53E-02,1.389941,0.436853
5.56E-02,1.385607,0.416474
5.59E-02,1.377959,0.396119
5.62E-02,1.366682,0.377532
5.66E-02,1.352837,0.363166
5.69E-02,1.337879,0.352511
5.72E-02,1.322566,0.345263
5.76E-02,1.307502,0.341327
5.79E-02,1.293481,0.340775
5.82E-02,1.281062,0.342537
5.86E-02,1.270481,0.346391
5.89E-02,1.262146,0.352107
5.93E-02,1.256895,0.359673
5.96E-02,1.255493,0.367266
6.00E-02,1.257364,0.372169
6.03E-02,1.26107,0.373659
6.07E-02,1.265531,0.371928
6.10E-02,1.269564,0.366348
6.14E-02,1.272236,0.358298
6.17E-02,1.273181,0.34799
6.21E-02,1.271898,0.335651
6.25E-02,1.267656,0.321322
6.28E-02,1.259459,0.305537
6.32E-02,1.246229,0.28938
6.36E-02,1.227079,0.27491
6.39E-02,1.201344,0.264881
6.43E-02,1.172772,0.26868
6.47E-02,1.146694,0.281919
6.51E-02,1.125139,0.302642
6.55E-02,1.109858,0.329885
6.58E-02,1.103379,0.363053
6.62E-02,1.111979,0.402351
6.66E-02,1.13221,0.420805
6.70E-02,1.150939,0.421948
6.74E-02,1.160397,0.414392
6.78E-02,1.166998,0.421966
6.82E-02,1.178114,0.426047
6.86E-02,1.191173,0.426324
6.90E-02,1.20522,0.422552
6.94E-02,1.219998,0.414665
6.98E-02,1.234942,0.40039
7.02E-02,1.247716,0.376987
7.06E-02,1.254788,0.344017
7.10E-02,1.252052,0.301731
7.15E-02,1.233593,0.250909
7.19E-02,1.189813,0.19663
7.23E-02,1.127897,0.180427
7.27E-02,1.070187,0.198804
7.31E-02,1.031893,0.238253
7.36E-02,1.007199,0.260628
7.40E-02,0.984894,0.283685
7.44E-02,0.965625,0.307274
7.49E-02,0.949194,0.331478
7.53E-02,0.93562,0.356519
7.58E-02,0.925723,0.382813
7.62E-02,0.919472,0.407013
7.66E-02,0.915581,0.428631
7.71E-02,0.913056,0.447371
7.75E-02,0.910774,0.462648
7.80E-02,0.907094,0.473961
7.85E-02,0.899358,0.481062
7.89E-02,0.884952,0.487444
7.94E-02,0.862765,0.498156
7.98E-02,0.836943,0.523806
8.03E-02,0.813672,0.561539
8.08E-02,0.79781,0.612066
8.13E-02,0.795369,0.671922
8.17E-02,0.810555,0.731354
8.22E-02,0.835664,0.768129
8.27E-02,0.859317,0.792072
8.32E-02,0.877623,0.808091
8.37E-02,0.88837,0.821488
8.42E-02,0.893181,0.841463
8.46E-02,0.897876,0.871905
8.51E-02,0.908124,0.909947
8.56E-02,0.927224,0.950581
8.61E-02,0.955477,0.986575
8.66E-02,0.987752,1.009144
8.72E-02,1.015865,1.02004
8.77E-02,1.036594,1.030728
8.82E-02,1.053696,1.049635
8.87E-02,1.078253,1.083407
8.92E-02,1.113799,1.10604
8.97E-02,1.14829,1.108825
9.03E-02,1.171074,1.103342
9.08E-02,1.180964,1.106522
9.13E-02,1.200085,1.149043
9.19E-02,1.237422,1.170563
9.24E-02,1.27148,1.168133
9.29E-02,1.290282,1.163746
9.35E-02,1.321951,1.208575
9.40E-02,1.357998,1.186584
9.46E-02,1.378306,1.193395
9.51E-02,1.405207,1.208775
9.57E-02,1.437531,1.214657
9.63E-02,1.469487,1.214299
9.68E-02,1.494227,1.202833
9.74E-02,1.511706,1.202975
9.80E-02,1.530848,1.212292
9.85E-02,1.552441,1.220396
9.91E-02,1.578016,1.236075
9.97E-02,1.608274,1.245875
1.00E-01,1.639505,1.253708
1.01E-01,1.671763,1.261538
1.01E-01,1.705781,1.26937
1.02E-01,1.742293,1.277209
1.03E-01,1.782832,1.285045
1.03E-01,1.827141,1.287123
1.04E-01,1.87016,1.279713
1.04E-01,1.912419,1.276531
1.05E-01,1.953476,1.264235
1.06E-01,1.991946,1.257307
1.06E-01,2.034044,1.255222
1.07E-01,2.081413,1.248752
1.08E-01,2.129466,1.232882
1.08E-01,2.173748,1.213018
1.09E-01,2.214917,1.197107
1.09E-01,2.258383,1.190395
1.10E-01,2.313615,1.194184
1.11E-01,2.384913,1.190812
1.11E-01,2.469817,1.174964
1.12E-01,2.565442,1.140218
1.13E-01,2.666949,1.082553
1.13E-01,2.800601,1.034404
1.14E-01,2.91707,0.805745
1.15E-01,2.921398,0.525164
1.15E-01,2.830515,0.327704
1.16E-01,2.730729,0.264186
1.17E-01,2.657696,0.201038
1.17E-01,2.585354,0.138257
1.18E-01,2.507106,0.093934
1.19E-01,2.438043,0.087739
1.19E-01,2.38589,0.08158
1.20E-01,2.34274,0.075726
1.21E-01,2.305712,0.070225
1.22E-01,2.273187,0.064757
1.22E-01,2.244032,0.059321
1.23E-01,2.217478,0.053916
1.24E-01,2.192949,0.048542
1.24E-01,2.169969,0.0432
1.25E-01,2.148073,0.037889
1.26E-01,2.126543,0.032609
1.27E-01,2.10604,0.030238
1.27E-01,2.087433,0.028239
1.28E-01,2.070224,0.026253
1.29E-01,2.054054,0.024277
1.30E-01,2.038655,0.022314
1.30E-01,2.023664,0.020362
1.31E-01,2.009397,0.019832
1.32E-01,1.996288,0.019496
1.33E-01,1.984103,0.019162
1.33E-01,1.972683,0.018829
1.34E-01,1.961938,0.018499
1.35E-01,1.95182,0.018171
1.36E-01,1.942287,0.017765
1.37E-01,1.93318,0.017098
1.37E-01,1.924382,0.016434
1.38E-01,1.9159,0.015775
1.39E-01,1.90771,0.015119
1.40E-01,1.899774,0.014467
1.41E-01,1.892015,0.013819
1.42E-01,1.884494,0.013495
1.42E-01,1.87735,0.013332
1.43E-01,1.87057,0.01317
1.44E-01,1.864102,0.013008
1.45E-01,1.857926,0.012848
1.46E-01,1.852043,0.012689
1.47E-01,1.846461,0.012473
1.47E-01,1.841052,0.011966
1.48E-01,1.835715,0.011461
1.49E-01,1.830481,0.01096
1.50E-01,1.825345,0.010461
1.51E-01,1.820266,0.009966
1.52E-01,1.815301,0.009696
1.53E-01,1.810554,0.009535
1.54E-01,1.806031,0.009375
1.54E-01,1.801732,0.009215
1.55E-01,1.797574,0.008845
1.56E-01,1.793472,0.00846
1.57E-01,1.789443,0.008077
1.58E-01,1.785492,0.007695
1.59E-01,1.781615,0.007317
1.60E-01,1.777803,0.006948
1.61E-01,1.774066,0.006622
1.62E-01,1.770407,0.006299
1.63E-01,1.766794,0.005977
1.64E-01,1.76325,0.005767
1.65E-01,1.759819,0.005605
1.66E-01,1.756494,0.005444
1.67E-01,1.753251,0.005284
1.68E-01,1.750088,0.005157
1.69E-01,1.747022,0.005064
1.70E-01,1.744056,0.004971
1.71E-01,1.741185,0.004879
1.72E-01,1.738409,0.004768
1.73E-01,1.735693,0.004585
1.74E-01,1.733013,0.004403
1.75E-01,1.730377,0.004222
1.76E-01,1.727786,0.004042
1.77E-01,1.725237,0.003863
1.78E-01,1.722724,0.003685
1.79E-01,1.720232,0.003509
1.80E-01,1.717771,0.003407
1.81E-01,1.715417,0.003415
1.82E-01,1.713165,0.003321
1.83E-01,1.710943,0.003181
1.84E-01,1.708742,0.003041
1.85E-01,1.706562,0.002902
1.86E-01,1.704396,0.002772
1.87E-01,1.70227,0.002718
1.88E-01,1.700206,0.002665
1.90E-01,1.698188,0.002612
1.91E-01,1.696209,0.002559
1.92E-01,1.694269,0.002529
1.93E-01,1.692378,0.002508
1.94E-01,1.690533,0.002487
1.95E-01,1.688728,0.002466
1.96E-01,1.686963,0.002446
1.97E-01,1.685234,0.002426
1.99E-01,1.683542,0.002406
2.00E-01,1.681883,0.002386
2.01E-01,1.680258,0.002366
2.02E-01,1.678665,0.002347
2.03E-01,1.677103,0.002328
2.04E-01,1.675571,0.002309
2.06E-01,1.674068,0.002291
2.07E-01,1.672594,0.002272
2.08E-01,1.671147,0.002254
2.09E-01,1.669728,0.002236
2.11E-01,1.668335,0.002218
2.12E-01,1.666967,0.002201
2.13E-01,1.665624,0.002184
2.14E-01,1.664305,0.002166
2.16E-01,1.66301,0.002149
2.17E-01,1.661738,0.002133
2.18E-01,1.660489,0.002116
2.19E-01,1.659261,0.0021
2.21E-01,1.658055,0.002083
2.22E-01,1.65687,0.002067
2.23E-01,1.655706,0.002052
2.25E-01,1.654561,0.002036
2.26E-01,1.653436,0.00202
2.27E-01,1.652331,0.002005
2.28E-01,1.651243,0.00199
2.30E-01,1.650175,0.001975
2.31E-01,1.649124,0.00196
2.33E-01,1.64809,0.001945
2.34E-01,1.647074,0.00193
2.35E-01,1.646074,0.001916
2.37E-01,1.645091,0.001902
2.38E-01,1.644124,0.001888
2.39E-01,1.643172,0.001874
2.41E-01,1.642236,0.00186
2.42E-01,1.641315,0.001846
2.44E-01,1.640409,0.001832
2.45E-01,1.639517,0.001819
2.46E-01,1.63864,0.001806
2.48E-01,1.637776,0.001792
2.49E-01,1.636926,0.001779
2.51E-01,1.636089,0.001766
2.52E-01,1.635266,0.001754
2.54E-01,1.634455,0.001741
2.55E-01,1.633657,0.001728
2.57E-01,1.632871,0.001716
2.58E-01,1.632097,0.001704
2.60E-01,1.631335,0.001692
2.61E-01,1.630585,0.001679
2.63E-01,1.629846,0.001667
2.64E-01,1.629119,0.001656
2.66E-01,1.628402,0.001644
2.67E-01,1.627697,0.001632
2.69E-01,1.627002,0.001621
2.71E-01,1.626317,0.001609
2.72E-01,1.625643,0.001598
2.74E-01,1.624978,0.001587
2.75E-01,1.624324,0.001576
2.77E-01,1.623679,0.001565
2.79E-01,1.623043,0.001554
2.80E-01,1.622417,0.001543
2.82E-01,1.6218,0.001532
2.84E-01,1.621193,0.001522
2.85E-01,1.620594,0.001511
2.87E-01,1.620003,0.001501
2.89E-01,1.619422,0.00149
2.90E-01,1.618849,0.00148
2.92E-01,1.618283,0.00147
2.94E-01,1.617727,0.00146
2.95E-01,1.617178,0.00145
2.97E-01,1.616637,0.00144
2.99E-01,1.616103,0.00143
3.01E-01,1.615578,0.00142
3.02E-01,1.615059,0.001411
3.04E-01,1.614548,0.001401
3.06E-01,1.614045,0.001392
3.08E-01,1.613548,0.001382
3.10E-01,1.613058,0.001373
3.11E-01,1.612575,0.001364
3.13E-01,1.612099,0.001355
3.15E-01,1.61163,0.001346
3.17E-01,1.611167,0.001337
3.19E-01,1.610711,0.001328
3.21E-01,1.610261,0.001319
3.22E-01,1.609817,0.00131
3.24E-01,1.609379,0.001301
3.26E-01,1.608947,0.001293
3.28E-01,1.608521,0.001284
3.30E-01,1.608102,0.001275
3.32E-01,1.607687,0.001267
3.34E-01,1.607279,0.001259
3.36E-01,1.606876,0.00125
3.38E-01,1.606478,0.001242
3.40E-01,1.606086,0.001234
3.42E-01,1.6057,0.001226
3.44E-01,1.605318,0.001218
3.46E-01,1.604942,0.00121
3.48E-01,1.60457,0.001202
3.50E-01,1.604204,0.001194
3.52E-01,1.603843,0.001186
3.54E-01,1.603486,0.001179
3.56E-01,1.603134,0.001171
3.58E-01,1.602787,0.001163
3.60E-01,1.602445,0.001156
3.62E-01,1.602107,0.001148
3.65E-01,1.601773,0.001141
3.67E-01,1.601444,0.001133
3.69E-01,1.60112,0.001126
3.71E-01,1.6008,0.001119
3.73E-01,1.600483,0.001112
3.75E-01,1.600172,0.001104
3.78E-01,1.599864,0.001097
3.80E-01,1.59956,0.00109
3.82E-01,1.59926,0.001083
3.84E-01,1.598964,0.001076
3.86E-01,1.598672,0.001069
3.89E-01,1.598384,0.001063
3.91E-01,1.5981,0.001056
3.93E-01,1.597819,0.001049
3.96E-01,1.597542,0.001042
3.98E-01,1.597269,0.001036
4.00E-01,1.596999,0.001029
4.03E-01,1.596732,0.001023
4.05E-01,1.596469,0.001016
4.07E-01,1.59621,0.00101
4.10E-01,1.595954,0.001003
4.12E-01,1.595701,0.000997
4.15E-01,1.595451,0.000991
4.17E-01,1.595205,0.000984
4.19E-01,1.594962,0.000978
4.22E-01,1.594721,0.000972
4.24E-01,1.594484,0.000966
4.27E-01,1.59425,0.00096
4.29E-01,1.594019,0.000954
4.32E-01,1.593791,0.000948
4.34E-01,1.593566,0.000942
4.37E-01,1.593344,0.000936
4.39E-01,1.593124,0.00093
4.42E-01,1.592908,0.000924
4.45E-01,1.592694,0.000918
4.47E-01,1.592483,0.000913
4.50E-01,1.592274,0.000907
4.52E-01,1.592068,0.000901
4.55E-01,1.591865,0.000896
4.58E-01,1.591664,0.00089
4.60E-01,1.591466,0.000885
4.63E-01,1.59127,0.000879
4.66E-01,1.591077,0.000874
4.69E-01,1.590886,0.000868
4.71E-01,1.590698,0.000863
4.74E-01,1.590512,0.000857
4.77E-01,1.590328,0.000852
4.80E-01,1.590147,0.000847
4.83E-01,1.589968,0.000842
4.85E-01,1.589791,0.000836
4.88E-01,1.589616,0.000831
4.91E-01,1.589444,0.000826
4.94E-01,1.589274,0.000821
4.97E-01,1.589105,0.000816
5.00E-01,1.588939,0.000811
5.03E-01,1.588775,0.000806
5.06E-01,1.588613,0.000801
5.09E-01,1.588453,0.000796
5.12E-01,1.588295,0.000791
5.15E-01,1.588139,0.000786
5.18E-01,1.587985,0.000781
5.21E-01,1.587833,0.000777
5.24E-01,1.587683,0.000772
5.27E-01,1.587534,0.000767
5.30E-01,1.587388,0.000762
5.33E-01,1.587243,0.000758
5.36E-01,1.5871,0.000753
5.39E-01,1.586959,0.000749
5.42E-01,1.586819,0.000744
5.45E-01,1.586682,0.000739
5.49E-01,1.586545,0.000735
5.52E-01,1.586411,0.00073
5.55E-01,1.586278,0.000726
5.58E-01,1.586147,0.000721
5.62E-01,1.586018,0.000717
5.65E-01,1.58589,0.000713
5.68E-01,1.585763,0.000708
5.72E-01,1.585639,0.000704
5.75E-01,1.585515,0.0007
5.78E-01,1.585394,0.000696
5.82E-01,1.585273,0.000691
5.85E-01,1.585154,0.000687
5.89E-01,1.585037,0.000683
5.92E-01,1.584921,0.000679
5.95E-01,1.584807,0.000675
5.99E-01,1.584694,0.000671
6.02E-01,1.584582,0.000667
6.06E-01,1.584471,0.000663
6.10E-01,1.584362,0.000659
6.13E-01,1.584255,0.000655
6.17E-01,1.584148,0.000651
6.20E-01,1.584043,0.000647
6.24E-01,1.583939,0.000643
6.28E-01,1.583837,0.000639
6.31E-01,1.583736,0.000635
6.35E-01,1.583635,0.000631
6.39E-01,1.583537,0.000627
6.42E-01,1.583439,0.000624
6.46E-01,1.583342,0.00062
6.50E-01,1.583247,0.000616
6.54E-01,1.583153,0.000612
6.58E-01,1.58306,0.000609
6.61E-01,1.582968,0.000605
6.65E-01,1.582877,0.000601
6.69E-01,1.582788,0.000598
6.73E-01,1.582699,0.000594
6.77E-01,1.582611,0.000591
6.81E-01,1.582525,0.000587
6.85E-01,1.582439,0.000584
6.89E-01,1.582355,0.00058
6.93E-01,1.582272,0.000577
6.97E-01,1.582189,0.000573
7.01E-01,1.582108,0.00057
7.05E-01,1.582027,0.000566
7.09E-01,1.581948,0.000563
7.14E-01,1.581869,0.000559
7.18E-01,1.581792,0.000556
7.22E-01,1.581715,0.000553
7.26E-01,1.581639,0.000549
7.31E-01,1.581565,0.000546
7.35E-01,1.581491,0.000543
7.39E-01,1.581418,0.00054
7.43E-01,1.581346,0.000536
7.48E-01,1.581274,0.000533
7.52E-01,1.581204,0.00053
7.57E-01,1.581134,0.000527
7.61E-01,1.581066,0.000524
7.65E-01,1.580998,0.000521
7.70E-01,1.580931,0.000518
7.74E-01,1.580864,0.000514
7.79E-01,1.580799,0.000511
7.84E-01,1.580734,0.000508
7.88E-01,1.58067,0.000505
7.93E-01,1.580607,0.000502
7.97E-01,1.580544,0.000499
8.02E-01,1.580483,0.000496
8.07E-01,1.580422,0.000493
8.11E-01,1.580361,0.00049
8.16E-01,1.580302,0.000488
8.21E-01,1.580243,0.000485
8.26E-01,1.580185,0.000482
8.31E-01,1.580128,0.000479
8.36E-01,1.580071,0.000476
8.40E-01,1.580015,0.000473
8.45E-01,1.579959,0.00047
8.50E-01,1.579905,0.000468
8.55E-01,1.579851,0.000465
8.60E-01,1.579797,0.000462
8.65E-01,1.579744,0.000459
8.70E-01,1.579692,0.000457
8.76E-01,1.579641,0.000454
8.81E-01,1.57959,0.000451
8.86E-01,1.579539,0.000449
8.91E-01,1.57949,0.000446
8.96E-01,1.57944,0.000443
9.01E-01,1.579392,0.000441
9.07E-01,1.579344,0.000438
9.12E-01,1.579297,0.000435
9.17E-01,1.57925,0.000433
9.23E-01,1.579203,0.00043
9.28E-01,1.579158,0.000428
9.34E-01,1.579112,0.000425
9.39E-01,1.579068,0.000423
9.45E-01,1.579024,0.00042
