wl,n,k
0.3,1.552770264,2.86E-06
0.322,1.545869929,1.37E-06
0.344,1.540446687,6.66E-07
0.366,1.536090528,2.64E-07
0.388,1.532527732,9.29E-08
0.41,1.529568767,3.42E-08
0.432,1.527078429,2.74E-08
0.454,1.524957846,2.07E-08
0.476,1.523133174,1.37E-08
0.498,1.521548253,1.02E-08
0.52,1.520159688,9.06E-09
0.542,1.518933478,9.39E-09
0.564,1.517842648,1.11E-08
0.586,1.516865557,1.03E-08
0.608,1.515984669,9.58E-09
0.63,1.515185645,6.97E-09
0.652,1.51445666,9.25E-09
0.674,1.51378789,1.19E-08
0.696,1.513171112,1.26E-08
0.718,1.512599402,8.93E-09
0.74,1.512066895,1.01E-08
0.762,1.51156859,9.84E-08
0.784,1.511100206,1.09E-06
0.806,1.510658057,4.29E-06
0.828,1.510238956,8.13E-06
0.85,1.509840135,8.13E-06
0.872,1.50945918,1.73E-06
0.894,1.509093978,1.81E-06
0.916,1.508742673,1.88E-06
0.938,1.508403627,1.96E-06
0.96,1.508075392,2.03E-06
0.982,1.507756683,2.11E-06
1.004,1.507446357,2.18E-06
1.026,1.507143392,2.26E-06
1.048,1.506846874,2.33E-06
1.07,1.506555982,2.41E-06
1.092,1.506269979,2.48E-06
1.114,1.505988198,2.56E-06
1.136,1.505710037,2.63E-06
1.158,1.50543495,2.71E-06
1.18,1.505162442,2.78E-06
1.202,1.50489206,2.86E-06
1.224,1.504623394,2.93E-06
1.246,1.504356065,3.01E-06
1.268,1.50408973,3.08E-06
1.29,1.503824072,3.16E-06
1.312,1.503558798,3.23E-06
1.334,1.503293642,3.30E-06
1.356,1.503028354,3.38E-06
1.378,1.502762706,3.45E-06
1.4,1.502496485,3.53E-06
1.422,1.502229493,3.53E-06
1.444,1.501961547,3.60E-06
1.466,1.501692477,3.68E-06
1.488,1.501422121,3.75E-06
1.51,1.501150331,3.83E-06
1.532,1.500876967,3.90E-06
1.554,1.500601898,3.98E-06
1.576,1.500324999,4.05E-06
1.598,1.500046155,4.13E-06
1.62,1.499765255,4.20E-06
1.642,1.499482196,4.28E-06
1.664,1.499196879,4.35E-06
1.686,1.498909211,4.43E-06
1.708,1.498619104,4.50E-06
1.73,1.498326472,4.58E-06
1.752,1.498031236,4.65E-06
1.774,1.497733318,4.72E-06
1.796,1.497432645,4.80E-06
1.818,1.497129146,4.87E-06
1.84,1.496822753,4.95E-06
1.862,1.4965134,5.02E-06
1.884,1.496201026,5.10E-06
1.906,1.495885568,5.17E-06
1.928,1.495566968,5.25E-06
1.95,1.49524517,5.32E-06
1.972,1.494920117,5.40E-06
1.994,1.494591757,5.40E-06
2.016,1.494260036,5.47E-06
2.038,1.493924904,5.55E-06
2.06,1.49358631,5.62E-06
2.082,1.493244207,5.70E-06
2.104,1.492898546,5.77E-06
2.126,1.49254928,5.85E-06
2.148,1.492196363,5.92E-06
2.17,1.49183975,6.00E-06
2.192,1.491479396,6.07E-06
2.214,1.491115257,6.14E-06
2.236,1.490747289,6.22E-06
2.258,1.49037545,6.29E-06
2.28,1.489999697,6.37E-06
2.302,1.489619988,6.44E-06
2.324,1.48923628,6.52E-06
2.346,1.488848531,6.59E-06
2.368,1.488456702,6.67E-06
2.39,1.488060749,6.74E-06
2.412,1.487660633,6.82E-06
2.434,1.487256312,6.89E-06
2.456,1.486847745,6.97E-06
2.478,1.486434891,7.04E-06
2.5,1.48601771,7.12E-06
