wl,n,k
0.2,1.6903625,0
0.209,1.664789106,0
0.218,1.643650025,0
0.227,1.626012343,0
0.236,1.611169199,0
0.245,1.598578576,0
0.254,1.587820256,0
0.263,1.578565106,0
0.272,1.570552872,0
0.281,1.563575941,0
0.29,1.557467316,0
0.299,1.55209163,0
0.308,1.547338357,0
0.317,1.543116633,0
0.326,1.539351285,0
0.335,1.535979737,0
0.344,1.532949605,0
0.353,1.530216799,0
0.362,1.52774402,0
0.371,1.52549956,0
0.38,1.523456339,0
0.389,1.52159113,0
0.398,1.519883927,0
0.407,1.51831743,0
0.416,1.516876623,0
0.425,1.515548423,0
0.434,1.514321394,0
0.443,1.513185508,0
0.452,1.51213194,0
0.461,1.511152904,0
0.47,1.51024151,0
0.479,1.509391641,0
0.488,1.508597855,0
0.497,1.507855298,0
0.506,1.50715963,0
0.515,1.506506957,0
0.524,1.505893785,0
0.533,1.505316965,0
0.542,1.504773657,0
0.551,1.504261292,0
0.56,1.503777545,0
0.569,1.503320305,0
0.578,1.502887651,0
0.587,1.502477834,0
0.596,1.502089261,0
0.605,1.501720472,0
0.614,1.501370133,0
0.623,1.50103702,0
0.632,1.500720011,0
0.641,1.500418073,0
0.65,1.500130255,0
0.659,1.499855679,0
0.668,1.499593538,0
0.677,1.499343082,0
0.686,1.49910362,0
0.695,1.49887451,0
0.704,1.498655156,0
0.713,1.498445007,0
0.722,1.498243549,0
0.731,1.498050302,0
0.74,1.497864822,0
0.749,1.497686694,0
0.758,1.497515528,0
0.767,1.497350963,0
0.776,1.49719266,0
0.785,1.497040301,0
0.794,1.496893589,0
0.803,1.496752245,0
0.812,1.496616007,0
0.821,1.496484629,0
0.83,1.496357881,0
0.839,1.496235544,0
0.848,1.496117415,0
0.857,1.4960033,0
0.866,1.495893017,0
0.875,1.495786395,0
0.884,1.495683272,0
0.893,1.495583494,0
0.902,1.495486916,0
0.911,1.495393403,0
0.92,1.495302824,0
0.929,1.495215056,0
0.938,1.495129983,0
0.947,1.495047495,0
0.956,1.494967487,0
0.965,1.494889859,0
0.974,1.494814517,0
0.983,1.494741371,0
0.992,1.494670336,0
1.001,1.49460133,0
1.01,1.494534277,0
1.019,1.494469102,0
1.028,1.494405735,0
1.037,1.494344109,0
1.046,1.494284161,0
1.055,1.494225829,0
1.064,1.494169056,0
1.073,1.494113785,0
1.082,1.494059965,0
1.091,1.494007543,0
1.1,1.493956472,0
